实验,目录,fold,best_epoch,IPC一级_accuracy,IPC二级_accuracy,IPC三级_accuracy
IPCPrediction-16轮,models/ipc_prediction_level3_cv_tuned_16ep,1,16.0,0.5271813613522156,0.2521699406121516,0.1470991320237551
IPCPrediction-16轮,models/ipc_prediction_level3_cv_tuned_16ep,2,15.0,0.546078431372549,0.2681372549019608,0.1583333333333333
IPCPrediction-16轮,models/ipc_prediction_level3_cv_tuned_16ep,3,13.0,0.5398773006134969,0.2551124744376278,0.142638036809816
IPCPrediction-16轮,models/ipc_prediction_level3_cv_tuned_16ep,4,16.0,0.5716568993074055,0.2914224826851359,0.1619605753862547
IPCPrediction-16轮,models/ipc_prediction_level3_cv_tuned_16ep,5,14.0,0.5662049861495845,0.2770083102493075,0.1745152354570637
TFIDF-SVM-C1,models/tfidf_linear_level3_cv,1,,0.66925536774783,0.5034262220191869,0.3851073549566012
TFIDF-SVM-C1,models/tfidf_linear_level3_cv,2,,0.6980392156862745,0.5343137254901961,0.4259803921568627
TFIDF-SVM-C1,models/tfidf_linear_level3_cv,3,,0.7060327198364008,0.5414110429447853,0.4233128834355828
TFIDF-SVM-C1,models/tfidf_linear_level3_cv,4,,0.7043153969099627,0.552477357485349,0.4368673415023974
TFIDF-SVM-C1,models/tfidf_linear_level3_cv,5,,0.7329639889196676,0.5673130193905818,0.4686980609418283
TFIDF-SVM-C2,models/tfidf_linear_level3_cv_c2,1,,0.672910004568296,0.5084513476473276,0.3887619917770672
TFIDF-SVM-C2,models/tfidf_linear_level3_cv_c2,2,,0.7044117647058824,0.5372549019607843,0.4299019607843138
TFIDF-SVM-C2,models/tfidf_linear_level3_cv_c2,3,,0.7034764826175869,0.5475460122699386,0.425357873210634
TFIDF-SVM-C2,models/tfidf_linear_level3_cv_c2,4,,0.702184336707512,0.5610015982951518,0.4379328716036228
TFIDF-SVM-C2,models/tfidf_linear_level3_cv_c2,5,,0.7313019390581718,0.5750692520775623,0.4670360110803324
TFIDF-SVM-C4,models/tfidf_linear_level3_cv_c4,1,,0.6701690269529466,0.5084513476473276,0.3928734582000913
TFIDF-SVM-C4,models/tfidf_linear_level3_cv_c4,2,,0.7063725490196079,0.538235294117647,0.4299019607843138
TFIDF-SVM-C4,models/tfidf_linear_level3_cv_c4,3,,0.7029652351738241,0.5521472392638037,0.4274028629856851
TFIDF-SVM-C4,models/tfidf_linear_level3_cv_c4,4,,0.705380927011188,0.5641981885988279,0.4374001065530101
TFIDF-SVM-C4,models/tfidf_linear_level3_cv_c4,5,,0.7318559556786703,0.5761772853185596,0.4692520775623269
TFIDF-SVM-C8,models/tfidf_linear_level3_cv_c8,1,,0.6701690269529466,0.5089081772498858,0.3928734582000913
TFIDF-SVM-C8,models/tfidf_linear_level3_cv_c8,2,,0.7058823529411765,0.5387254901960784,0.4294117647058823
TFIDF-SVM-C8,models/tfidf_linear_level3_cv_c8,3,,0.700920245398773,0.5521472392638037,0.4279141104294479
TFIDF-SVM-C8,models/tfidf_linear_level3_cv_c8,4,,0.70378263185935,0.5625998934469899,0.4358018114011721
TFIDF-SVM-C8,models/tfidf_linear_level3_cv_c8,5,,0.7335180055401662,0.5745152354570637,0.4692520775623269
TFIDF-SVM-C4-ngram2-5,models/tfidf_linear_level3_cv_c4_ngram25,1,,0.6660575605299224,0.5047967108268616,0.3855641845591594
TFIDF-SVM-C4-ngram2-5,models/tfidf_linear_level3_cv_c4_ngram25,2,,0.703921568627451,0.5348039215686274,0.4225490196078431
TFIDF-SVM-C4-ngram2-5,models/tfidf_linear_level3_cv_c4_ngram25,3,,0.7019427402862985,0.5408997955010225,0.4243353783231084
TFIDF-SVM-C4-ngram2-5,models/tfidf_linear_level3_cv_c4_ngram25,4,,0.7000532765050612,0.5572722429408631,0.4304741608950453
TFIDF-SVM-C4-ngram2-5,models/tfidf_linear_level3_cv_c4_ngram25,5,,0.7318559556786703,0.5678670360110804,0.4587257617728532
TFIDF-SVM-C4-ngram1-4,models/tfidf_linear_level3_cv_c4_ngram14,1,,0.6866148926450434,0.5354042941982641,0.4216537231612609
TFIDF-SVM-C4-ngram1-4,models/tfidf_linear_level3_cv_c4_ngram14,2,,0.7132352941176471,0.5593137254901961,0.4470588235294118
TFIDF-SVM-C4-ngram1-4,models/tfidf_linear_level3_cv_c4_ngram14,3,,0.7157464212678937,0.5874233128834356,0.4688139059304703
TFIDF-SVM-C4-ngram1-4,models/tfidf_linear_level3_cv_c4_ngram14,4,,0.732019179541822,0.594033031433138,0.4667021843367075
TFIDF-SVM-C4-ngram1-4,models/tfidf_linear_level3_cv_c4_ngram14,5,,0.746814404432133,0.6077562326869806,0.5047091412742383
TFIDF-SVM-C8-ngram1-4,models/tfidf_linear_level3_cv_c8_ngram14,1,,0.6861580630424852,0.5363179534033805,0.4234810415714939
TFIDF-SVM-C8-ngram1-4,models/tfidf_linear_level3_cv_c8_ngram14,2,,0.7127450980392157,0.5632352941176471,0.4465686274509804
TFIDF-SVM-C8-ngram1-4,models/tfidf_linear_level3_cv_c8_ngram14,3,,0.7131901840490797,0.5904907975460123,0.4683026584867075
TFIDF-SVM-C8-ngram1-4,models/tfidf_linear_level3_cv_c8_ngram14,4,,0.7298881193393714,0.5913692061800746,0.4667021843367075
TFIDF-SVM-C8-ngram1-4,models/tfidf_linear_level3_cv_c8_ngram14,5,,0.7440443213296399,0.6116343490304709,0.5013850415512465
TFIDF-SVM-C4-ngram1-4-title5,models/tfidf_linear_level3_cv_c4_ngram14_title5,1,,0.6893558702603929,0.5422567382366378,0.4257651895842851
TFIDF-SVM-C4-ngram1-4-title5,models/tfidf_linear_level3_cv_c4_ngram14_title5,2,,0.7176470588235294,0.5632352941176471,0.4504901960784314
TFIDF-SVM-C4-ngram1-4-title5,models/tfidf_linear_level3_cv_c4_ngram14_title5,3,,0.7223926380368099,0.5904907975460123,0.4683026584867075
TFIDF-SVM-C4-ngram1-4-title5,models/tfidf_linear_level3_cv_c4_ngram14_title5,4,,0.7298881193393714,0.5935002663825253,0.4757591901971231
TFIDF-SVM-C4-ngram1-4-title5,models/tfidf_linear_level3_cv_c4_ngram14_title5,5,,0.7518005540166205,0.6160664819944598,0.5002770083102493
TFIDF-SVM-C4-ngram1-4-title7,models/tfidf_linear_level3_cv_c4_ngram14_title7,1,,0.6898126998629511,0.5422567382366378,0.4289629968021928
TFIDF-SVM-C4-ngram1-4-title7,models/tfidf_linear_level3_cv_c4_ngram14_title7,2,,0.7235294117647059,0.5651960784313725,0.4504901960784314
TFIDF-SVM-C4-ngram1-4-title7,models/tfidf_linear_level3_cv_c4_ngram14_title7,3,,0.7259713701431493,0.5899795501022495,0.467280163599182
TFIDF-SVM-C4-ngram1-4-title7,models/tfidf_linear_level3_cv_c4_ngram14_title7,4,,0.7298881193393714,0.5924347362813,0.4746936600958977
TFIDF-SVM-C4-ngram1-4-title7,models/tfidf_linear_level3_cv_c4_ngram14_title7,5,,0.7551246537396122,0.6116343490304709,0.506371191135734
TFIDF-SVM-C4-ngram1-4-title10-最佳,models/tfidf_linear_level3_cv_c4_ngram14_title10,1,,0.6930105070808589,0.5454545454545454,0.433074463225217
TFIDF-SVM-C4-ngram1-4-title10-最佳,models/tfidf_linear_level3_cv_c4_ngram14_title10,2,,0.7230392156862745,0.567156862745098,0.446078431372549
TFIDF-SVM-C4-ngram1-4-title10-最佳,models/tfidf_linear_level3_cv_c4_ngram14_title10,3,,0.7275051124744376,0.591002044989775,0.467280163599182
TFIDF-SVM-C4-ngram1-4-title10-最佳,models/tfidf_linear_level3_cv_c4_ngram14_title10,4,,0.7282898241875333,0.5919019712306872,0.4752264251465104
TFIDF-SVM-C4-ngram1-4-title10-最佳,models/tfidf_linear_level3_cv_c4_ngram14_title10,5,,0.7573407202216067,0.6132963988919667,0.506371191135734
TFIDF-SVM-C4-ngram1-4-title15,models/tfidf_linear_level3_cv_c4_ngram14_title15,1,,0.6907263590680676,0.5440840566468708,0.431247144814984
TFIDF-SVM-C4-ngram1-4-title15,models/tfidf_linear_level3_cv_c4_ngram14_title15,2,,0.7245098039215686,0.5686274509803921,0.4480392156862745
TFIDF-SVM-C4-ngram1-4-title15,models/tfidf_linear_level3_cv_c4_ngram14_title15,3,,0.7295501022494888,0.5904907975460123,0.4657464212678937
TFIDF-SVM-C4-ngram1-4-title15,models/tfidf_linear_level3_cv_c4_ngram14_title15,4,,0.7282898241875333,0.5924347362813,0.4789557805007991
TFIDF-SVM-C4-ngram1-4-title15,models/tfidf_linear_level3_cv_c4_ngram14_title15,5,,0.7606648199445983,0.6127423822714682,0.5030470914127424
