实验,目录,folds,IPC一级_accuracy_mean,IPC一级_accuracy_std,IPC二级_accuracy_mean,IPC二级_accuracy_std,IPC三级_accuracy_mean,IPC三级_accuracy_std,c,ngram_min,ngram_max,title_weight,max_features,class_weight
IPCPrediction-16轮,models/ipc_prediction_level3_cv_tuned_16ep,5,0.5501997957590503,0.0165527114703309,0.2687700925772367,0.0144464187260885,0.1569092626020446,0.0112908862897397,,,,,,
TFIDF-SVM-C1,models/tfidf_linear_level3_cv,5,0.7021213378200271,0.0203382282479262,0.5397882734660199,0.0213233549574367,0.4279932065986545,0.0268357543413293,1.0,2.0,4.0,3.0,200000.0,
TFIDF-SVM-C2,models/tfidf_linear_level3_cv_c2,5,0.7028569055314898,0.0184888648719936,0.5458646224501529,0.0226218740139233,0.429798141691194,0.025125784006669,2.0,2.0,4.0,3.0,200000.0,
TFIDF-SVM-C4,models/tfidf_linear_level3_cv_c4,5,0.7033487387672475,0.0196314797436272,0.5478418709892331,0.0233788822456468,0.4313660932170855,0.024377411490744,4.0,2.0,4.0,3.0,200000.0,
TFIDF-SVM-C8,models/tfidf_linear_level3_cv_c8,5,0.7028544525384824,0.0201114961320847,0.5473792071227642,0.0225640174284876,0.4310506444597841,0.0242979192593582,8.0,2.0,4.0,3.0,200000.0,
TFIDF-SVM-C4-ngram2-5,models/tfidf_linear_level3_cv_c4_ngram25,5,0.7007662203254807,0.0208955087047489,0.541127941369691,0.0216130573737265,0.4243297010316018,0.0233528563883268,4.0,2.0,5.0,3.0,200000.0,
TFIDF-SVM-C4-ngram1-4,models/tfidf_linear_level3_cv_c4_ngram14,5,0.7188860384009079,0.0201776509063579,0.5767861193384028,0.0260288062840294,0.4617875556464178,0.0273621846569498,4.0,1.0,4.0,3.0,200000.0,
TFIDF-SVM-C8-ngram1-4,models/tfidf_linear_level3_cv_c8_ngram14,5,0.7172051571599584,0.0193965587285599,0.578609520055517,0.0261517001615922,0.4612879106794271,0.0258159547593774,8.0,1.0,4.0,3.0,200000.0,
TFIDF-SVM-C4-ngram1-4-title5,models/tfidf_linear_level3_cv_c4_ngram14_title5,5,0.7222168480953448,0.0201732585315187,0.5811099156554564,0.0256614682239952,0.4641188485313593,0.0249686109375155,4.0,1.0,4.0,5.0,200000.0,
TFIDF-SVM-C4-ngram1-4-title7,models/tfidf_linear_level3_cv_c4_ngram14_title7,5,0.724865250969958,0.0208449032991258,0.5803002904164061,0.0240757353195588,0.4655596415422876,0.0257618930365186,4.0,1.0,4.0,7.0,200000.0,
TFIDF-SVM-C4-ngram1-4-title10-最佳,models/tfidf_linear_level3_cv_c4_ngram14_title10,5,0.7258370759301422,0.0204288500309308,0.5817623646624145,0.0232987426724696,0.4656061348958385,0.0252855019069317,4.0,1.0,4.0,10.0,200000.0,
TFIDF-SVM-C4-ngram1-4-title15,models/tfidf_linear_level3_cv_c4_ngram14_title15,5,0.7267481818742513,0.022195259903616,0.5816758847452086,0.0234178991632482,0.4654071307365387,0.024774974387714,4.0,1.0,4.0,15.0,200000.0,
